FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
2427	NA19919	-0.0330333	0.001823646	0.02454066	0.003095944	-0.008116161	-0.006245232	-0.02058866	-0.0137647	-0.0009273445	-0.007859151
2431	NA19916	-0.03291569	0.003185135	0.02905867	0.002704105	-0.003319217	-0.001642078	0.01935503	0.01589068	0.01038437	-0.01664005
2424	NA19835	-0.02963833	0.0001079877	0.02549405	0.0007578108	-0.01280044	0.008123589	0.009290756	0.004706968	-0.008879997	0.0009499427
2469	NA20282	-0.02315201	-0.005083139	0.03070279	-0.001450822	-0.01375701	0.003286408	0.03796909	-0.01089284	0.01549949	-0.02259024
2368	NA19703	-0.0317536	0.0002175808	0.02793018	0.003965881	-0.01157694	0.02448981	0.005390502	0.004623672	-0.004292537	-0.000674768
2425	NA19902	-0.03197193	0.002936753	0.02878848	0.00336921	-0.007326873	-0.005009603	0.005190365	0.003533658	-0.02293208	0.01487271
2425	NA19901	-0.0344869	0.004818265	0.02763449	0.004807356	-0.003481541	-0.007188505	0.009728066	0.006918244	-0.009917227	0.008043318
2427	NA19908	-0.03285583	0.001837167	0.02682068	0.004427513	-0.009575549	-0.001395103	-0.01021703	-0.01824586	-0.00384171	-0.003285728
2430	NA19914	-0.0235731	-0.006643728	0.02251217	0.002456612	-0.01090241	-0.001796314	-0.002098891	-0.003144427	0.01429247	-0.01031575
2470	NA20287	-0.02846737	-7.567727e-05	0.01879697	0.007676526	-0.003006051	-0.001612206	0.007410694	-0.000309677	0.002133146	0.002370022
2484	NA20335	-0.02450401	-0.005269629	0.02273997	0.003632041	-0.01198486	-0.002320146	0.003852007	0.01351267	-0.01439341	-0.02359894
2436	NA19713	-0.02335637	-0.005707512	0.02488656	-0.001614977	-0.01477663	0.0009625055	0.01698019	-0.002105886	-0.02640628	-0.01024663
2426	NA19904	-0.02706946	-0.001238016	0.02293412	-0.001246017	-0.01253173	0.001565427	-0.003742857	-0.007540258	-0.001204959	0.0005566676
2431	NA19917	-0.03503442	0.003870143	0.03110253	0.001637122	-0.003816723	0.007396693	0.01511986	0.02125386	-0.000731739	0.00224799
2436	NA19982	-0.03134848	0.001942523	0.01911753	0.001079099	-0.007217632	-0.003852488	0.006629728	0.0004286797	-0.01672803	-0.01600347
2487	NA20340	-0.02995335	-0.0005014236	0.02613222	0.001193529	-0.008649202	-0.004229475	0.003876344	0.001681774	0.00660055	-0.009045705
2475	NA20297	-0.0298009	0.0008636697	0.0230092	0.00212147	-0.01005535	-0.004189117	0.00128391	-0.009992538	-0.005590646	-0.002826376
2427	NA19909	-0.03148876	0.002566557	0.02703179	0.001557867	0.00139504	-0.01257198	-0.01445446	-0.00415634	0.002771367	-0.006618752
2424	NA19834	-0.02403043	-0.003708063	0.02483774	0.001417118	-0.009549021	0.003536509	0.003096722	0.007904281	-0.00510015	0.003753995
2480	NA20317	-0.02238542	-0.006561703	0.02547335	0.003080407	-0.01215348	0.002622298	-0.009223505	0.004141113	-0.002239318	-0.005821291
2418	NA19818	-0.02195423	-0.005677232	0.0256018	0.002677261	-0.005028385	0.001871733	0.002003088	0.004623712	-0.00897894	0.001233736
2471	NA20290	-0.03113117	0.001573078	0.02860417	0.008912866	-0.01173861	0.01172002	-0.003780879	0.007517873	0.003902208	-0.007384423
2474	NA20295	-0.03145279	0.002134393	0.02601195	0.001868139	-0.004873074	0.0008720892	0.01741703	-0.008347635	0.003891792	-0.002446397
2490	NA20346	-0.0288565	0.0004796	0.02949442	0.00175939	-0.009445037	-0.003313507	0.005220467	-0.00553952	-0.001497233	0.0003339605
2433	NA19921	-0.01188328	-0.005827365	0.02144665	-0.005303236	0.01068257	-0.001945199	0.003567585	-0.007068354	0.004688484	0.007023157
2469	NA20281	-0.03072518	0.000910953	0.02194082	0.004106927	-0.008627396	-0.003893821	0.004369843	-0.002727058	0.00431374	0.001328428
2495	NA20359	-0.02529096	-0.002715991	0.02790683	0.002518381	-0.01405271	0.01038979	-0.007702687	0.006290453	-0.01592722	-0.01018834
2477	NA20301	-0.02432785	-0.003165516	0.0324615	-0.002328055	-0.01325472	0.00660616	0.03002922	-0.007585151	0.01291654	-0.02561925
2492	NA20349	-0.0225198	-0.005788003	0.02441852	0.002366401	-0.01223677	0.00859843	0.005075994	-0.007393864	0.002817937	-0.01489527
2474	NA20294	-0.03068199	0.00132862	0.02505764	0.00121893	-0.008012235	0.004866492	0.01201011	-0.004728542	-0.0004935385	-0.001563571
2485	NA20337	-0.02264927	-0.00597467	0.02415344	0.007923302	-0.005849236	0.00328715	0.006158312	0.02298117	-0.02852546	-0.02645415
2494	NA20357	-0.03410781	0.003512738	0.03037003	0.007965421	-0.006147222	-0.01080143	0.01038228	-0.008022175	0.007015282	-0.01122609
2425	NA19900	-0.02948084	7.188484e-05	0.0249441	0.004582603	-0.00825037	0.0001757803	-0.001653283	-0.003066543	-0.01255623	0.01465368
2446	NA20128	-0.02802633	-0.001613285	0.02685027	0.005066825	-0.01096933	-0.001929153	0.009693704	0.002805524	0.01179754	-0.003379156
2491	NA20348	-0.03012822	-0.000917066	0.02452584	0.005514654	-0.008989321	0.002965434	0.003806534	-0.006676723	-0.007243636	-0.002770032
