FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2427	NA19919	-0.2866707	0.01279521	0.06968069	0.008294719	-0.02070552	-0.01048496	-0.03344659	-0.02211819	-0.001482047	-0.01248148
2431	NA19916	-0.2856501	0.02234779	0.08250912	0.007244894	-0.008467809	-0.002756841	0.03144254	0.02553437	0.01659592	-0.02642683
2424	NA19835	-0.2572084	0.000757672	0.07238775	0.002030342	-0.0326558	0.01363848	0.01509298	0.007563521	-0.01419168	0.001508648
2469	NA20282	-0.2009186	-0.03566472	0.08717743	-0.003887072	-0.03509614	0.005517464	0.06168137	-0.01750346	0.0247707	-0.0358766
2368	NA19703	-0.2755652	0.001526607	0.07930488	0.01062547	-0.02953446	0.0411153	0.008756954	0.007429675	-0.006860172	-0.00107163
2425	NA19902	-0.27746	0.02060508	0.08174196	0.009026857	-0.01869193	-0.00841049	0.008431828	0.005678155	-0.0366492	0.02362004
2425	NA19901	-0.2992855	0.03380629	0.07846531	0.01287997	-0.008881921	-0.01206859	0.01580339	0.01111677	-0.01584934	0.01277397
2427	NA19908	-0.2851306	0.01289008	0.07615457	0.01186229	-0.02442863	-0.002342201	-0.01659773	-0.02931886	-0.006139677	-0.005218217
2430	NA19914	-0.2045729	-0.04661425	0.06392102	0.006581805	-0.02781365	-0.003015785	-0.00340968	-0.005052709	0.02284169	-0.01638292
2470	NA20287	-0.2470465	-0.0005309729	0.05337208	0.02056711	-0.007668876	-0.00270669	0.01203879	-0.0004976129	0.003409114	0.003763943
2484	NA20335	-0.2126516	-0.03697319	0.06456782	0.009731039	-0.03057513	-0.003895232	0.006257644	0.02171321	-0.02300301	-0.03747858
2436	NA19713	-0.2026921	-0.0400455	0.07066284	-0.004326881	-0.03769736	0.001615925	0.02758457	-0.003383901	-0.04220153	-0.01627315
2426	NA19904	-0.2349152	-0.008686268	0.06511909	-0.003338355	-0.03197027	0.002628154	-0.006080329	-0.01211627	-0.001925721	0.0008840697
2431	NA19917	-0.304037	0.027154	0.08831244	0.004386211	-0.00973702	0.01241811	0.02456245	0.03415235	-0.001169438	0.003570137
2436	NA19982	-0.2720495	0.01362928	0.05428228	0.002891145	-0.01841324	-0.006467841	0.01077009	0.0006888357	-0.02673411	-0.02541586
2487	NA20340	-0.2599422	-0.003518128	0.07419978	0.003197727	-0.02206538	-0.007100754	0.006297181	0.002702405	0.01054875	-0.0143659
2475	NA20297	-0.2586192	0.006059747	0.06533227	0.005683887	-0.02565267	-0.007032998	0.002085732	-0.01605678	-0.008934761	-0.004488699
2427	NA19909	-0.2732669	0.01800768	0.07675402	0.004173869	0.003558951	-0.02110676	-0.02348148	-0.00667873	0.004429095	-0.01051155
2424	NA19834	-0.2085417	-0.02601681	0.07052424	0.003796771	-0.02436095	0.005937352	0.005030673	0.01270121	-0.00815087	0.005961894
2480	NA20317	-0.1942659	-0.04603874	0.07232896	0.00825309	-0.0310053	0.004402507	-0.01498373	0.00665426	-0.003578795	-0.009245063
2418	NA19818	-0.190524	-0.03983304	0.07269369	0.007172974	-0.01282815	0.003142403	0.003254048	0.007429739	-0.01434981	0.001959353
2471	NA20290	-0.2701636	0.01103715	0.08121863	0.02387954	-0.02994691	0.01967644	-0.006142096	0.0120803	0.006236364	-0.01172755
2474	NA20295	-0.2729547	0.0149755	0.07385828	0.005005156	-0.01243193	0.001464127	0.02829424	-0.01341363	0.006219717	-0.003885237
2490	NA20346	-0.2504235	0.003365008	0.08374639	0.004713795	-0.02409567	-0.00556296	0.008480728	-0.008901329	-0.002392822	0.0005303782
2433	NA19921	-0.1031259	-0.04088642	0.06089557	-0.01420854	0.02725279	-0.003265743	0.005795597	-0.01135798	0.00749296	0.0111538
2469	NA20281	-0.2666404	0.006391501	0.06229873	0.01100337	-0.02200975	-0.006537234	0.007098878	-0.004382049	0.006894058	0.002109738
2495	NA20359	-0.2194809	-0.01905615	0.07923859	0.006747298	-0.03585051	0.01744314	-0.01251313	0.01010799	-0.02545428	-0.01618058
2477	NA20301	-0.2111228	-0.02221014	0.09217111	-0.006237373	-0.03381473	0.01109091	0.04878293	-0.01218841	0.02064273	-0.04068712
2492	NA20349	-0.1954322	-0.04061024	0.06933389	0.00634011	-0.0312178	0.01443568	0.008246031	-0.01188103	0.004503521	-0.02365587
2474	NA20294	-0.2662655	0.00932197	0.07114859	0.003265783	-0.02044039	0.008170225	0.0195106	-0.007598188	-0.0007887547	-0.00248318
2485	NA20337	-0.1965557	-0.04191996	0.06858123	0.02122828	-0.01492226	0.005518709	0.01000427	0.03692792	-0.04558832	-0.04201307
2494	NA20357	-0.2959956	0.02464635	0.08623259	0.02134112	-0.01568246	-0.01813423	0.01686617	-0.01289065	0.01121156	-0.01782867
2425	NA19900	-0.2558417	0.0005043641	0.07082621	0.01227781	-0.0210479	0.000295113	-0.002685784	-0.004927559	-0.0200669	0.02327219
2446	NA20128	-0.2432191	-0.01131926	0.07623858	0.01357514	-0.02798437	-0.003238804	0.01574757	0.004508133	0.01885439	-0.005366594
